system_name,edsm_status,direction,steps_from_edge,edge_number,family,subsector,mass_prefix,number
Pha Aeb IT-Z d13-3,in_edsm,forward,1,2,Pha Aeb IT-Z,IT-Z,d13,3
Pha Aeb SS-U d2-4,in_edsm,forward,1,3,Pha Aeb SS-U,SS-U,d2,4
Pha Aeb XZ-G d10-1,in_edsm,forward,1,0,Pha Aeb XZ-G,XZ-G,d10,1
Pha Aeb AA-H c10-1,not_in_edsm,forward,1,0,Pha Aeb AA-H,AA-H,c10,1
Pha Aeb AA-H d10-1,not_in_edsm,forward,1,0,Pha Aeb AA-H,AA-H,d10,1
Pha Aeb AA-P c19-1,not_in_edsm,forward,1,0,Pha Aeb AA-P,AA-P,c19,1
Pha Aeb AA-Q d5-1,not_in_edsm,forward,1,0,Pha Aeb AA-Q,AA-Q,d5,1
Pha Aeb AA-T b3-1,not_in_edsm,forward,1,0,Pha Aeb AA-T,AA-T,b3,1
Pha Aeb AA-Y d1-1,not_in_edsm,forward,1,0,Pha Aeb AA-Y,AA-Y,d1,1
Pha Aeb AB-F c11-1,not_in_edsm,forward,1,0,Pha Aeb AB-F,AB-F,c11,1
Pha Aeb AB-F d11-3,not_in_edsm,forward,1,2,Pha Aeb AB-F,AB-F,d11,3
Pha Aeb AB-O b6-1,not_in_edsm,forward,1,0,Pha Aeb AB-O,AB-O,b6,1
Pha Aeb AB-O d6-2,not_in_edsm,forward,1,1,Pha Aeb AB-O,AB-O,d6,2
Pha Aeb AB-W c15-1,not_in_edsm,forward,1,0,Pha Aeb AB-W,AB-W,c15,1
Pha Aeb AC-B c27-1,not_in_edsm,forward,1,0,Pha Aeb AC-B,AC-B,c27,1
Pha Aeb AC-C d13-1,not_in_edsm,forward,1,0,Pha Aeb AC-C,AC-C,d13,1
Pha Aeb AC-D b12-1,not_in_edsm,forward,1,0,Pha Aeb AC-D,AC-D,b12,1
Pha Aeb AC-D c12-1,not_in_edsm,forward,1,0,Pha Aeb AC-D,AC-D,c12,1
Pha Aeb AC-D d12-5,not_in_edsm,forward,1,4,Pha Aeb AC-D,AC-D,d12,5
Pha Aeb AC-L d8-1,not_in_edsm,forward,1,0,Pha Aeb AC-L,AC-L,d8,1
Pha Aeb AC-X c1-1,not_in_edsm,forward,1,0,Pha Aeb AC-X,AC-X,c1,1
