system_name,edsm_status,direction,steps_from_edge,spansh_edge_number,family,subsector,mass_prefix,number
Phoi Aescs EY-Z d13-0,in_edsm,backward,1,1,Phoi Aescs EY-Z,EY-Z,d13,0
Phoi Aescs XL-D d12-0,in_edsm,backward,1,1,Phoi Aescs XL-D,XL-D,d12,0
Phoi Aescs BG-E d12-0,not_in_edsm,backward,1,1,Phoi Aescs BG-E,BG-E,d12,0
Phoi Aescs CG-E d12-0,not_in_edsm,backward,1,1,Phoi Aescs CG-E,CG-E,d12,0
Phoi Aescs CQ-F d11-1,not_in_edsm,backward,1,2,Phoi Aescs CQ-F,CQ-F,d11,1
Phoi Aescs CQ-F d11-0,not_in_edsm,backward,2,2,Phoi Aescs CQ-F,CQ-F,d11,0
Phoi Aescs DD-A d14-0,not_in_edsm,backward,1,1,Phoi Aescs DD-A,DD-A,d14,0
Phoi Aescs EL-F d11-1,not_in_edsm,backward,1,2,Phoi Aescs EL-F,EL-F,d11,1
Phoi Aescs EL-F d11-0,not_in_edsm,backward,2,2,Phoi Aescs EL-F,EL-F,d11,0
Phoi Aescs EP-R d4-0,not_in_edsm,backward,1,1,Phoi Aescs EP-R,EP-R,d4,0
Phoi Aescs FF-G c24-0,not_in_edsm,backward,1,1,Phoi Aescs FF-G,FF-G,c24,0
Phoi Aescs FH-C d13-0,not_in_edsm,backward,1,1,Phoi Aescs FH-C,FH-C,d13,0
Phoi Aescs FI-A d14-0,not_in_edsm,backward,1,1,Phoi Aescs FI-A,FI-A,d14,0
Phoi Aescs FY-Z d13-1,not_in_edsm,backward,1,2,Phoi Aescs FY-Z,FY-Z,d13,1
Phoi Aescs FY-Z d13-0,not_in_edsm,backward,2,2,Phoi Aescs FY-Z,FY-Z,d13,0
Phoi Aescs GC-C d13-0,not_in_edsm,backward,1,1,Phoi Aescs GC-C,GC-C,d13,0
Phoi Aescs GM-C d13-0,not_in_edsm,backward,1,1,Phoi Aescs GM-C,GM-C,d13,0
Phoi Aescs GX-A d14-0,not_in_edsm,backward,1,1,Phoi Aescs GX-A,GX-A,d14,0
Phoi Aescs GY-Z d13-0,not_in_edsm,backward,1,1,Phoi Aescs GY-Z,GY-Z,d13,0
Phoi Aescs HG-F d11-1,not_in_edsm,backward,1,2,Phoi Aescs HG-F,HG-F,d11,1
Phoi Aescs HG-F d11-0,not_in_edsm,backward,2,2,Phoi Aescs HG-F,HG-F,d11,0
Phoi Aescs HK-R d4-1,not_in_edsm,backward,1,2,Phoi Aescs HK-R,HK-R,d4,1
Phoi Aescs HK-R d4-0,not_in_edsm,backward,2,2,Phoi Aescs HK-R,HK-R,d4,0
Phoi Aescs HW-D d12-0,not_in_edsm,backward,1,1,Phoi Aescs HW-D,HW-D,d12,0
Phoi Aescs IN-A d14-0,not_in_edsm,backward,1,1,Phoi Aescs IN-A,IN-A,d14,0
Phoi Aescs IS-A d14-0,not_in_edsm,backward,1,1,Phoi Aescs IS-A,IS-A,d14,0
Phoi Aescs IS-B d13-0,not_in_edsm,backward,1,1,Phoi Aescs IS-B,IS-B,d13,0
Phoi Aescs JD-A d14-0,not_in_edsm,backward,1,1,Phoi Aescs JD-A,JD-A,d14,0
Phoi Aescs JN-A d14-0,not_in_edsm,backward,1,1,Phoi Aescs JN-A,JN-A,d14,0
Phoi Aescs JV-P d5-0,not_in_edsm,backward,1,1,Phoi Aescs JV-P,JV-P,d5,0
Phoi Aescs JX-A d14-0,not_in_edsm,backward,1,1,Phoi Aescs JX-A,JX-A,d14,0
Phoi Aescs JX-B d13-0,not_in_edsm,backward,1,1,Phoi Aescs JX-B,JX-B,d13,0
Phoi Aescs KN-A d14-0,not_in_edsm,backward,1,1,Phoi Aescs KN-A,KN-A,d14,0
Phoi Aescs MC-B c27-0,not_in_edsm,backward,1,1,Phoi Aescs MC-B,MC-B,c27,0
Phoi Aescs MN-A d14-0,not_in_edsm,backward,1,1,Phoi Aescs MN-A,MN-A,d14,0
Phoi Aescs MX-B d13-0,not_in_edsm,backward,1,1,Phoi Aescs MX-B,MX-B,d13,0
Phoi Aescs NI-A d14-0,not_in_edsm,backward,1,1,Phoi Aescs NI-A,NI-A,d14,0
Phoi Aescs OT-X c28-0,not_in_edsm,backward,1,1,Phoi Aescs OT-X,OT-X,c28,0
Phoi Aescs PY-Z d13-0,not_in_edsm,backward,1,1,Phoi Aescs PY-Z,PY-Z,d13,0
Phoi Aescs QD-A d14-1,not_in_edsm,backward,1,2,Phoi Aescs QD-A,QD-A,d14,1
Phoi Aescs QD-A d14-0,not_in_edsm,backward,2,2,Phoi Aescs QD-A,QD-A,d14,0
Phoi Aescs QN-Z c27-0,not_in_edsm,backward,1,1,Phoi Aescs QN-Z,QN-Z,c27,0
Phoi Aescs RS-K d8-0,not_in_edsm,backward,1,1,Phoi Aescs RS-K,RS-K,d8,0
Phoi Aescs TI-J d9-0,not_in_edsm,backward,1,1,Phoi Aescs TI-J,TI-J,d9,0
Phoi Aescs TT-X c28-0,not_in_edsm,backward,1,1,Phoi Aescs TT-X,TT-X,c28,0
Phoi Aescs UT-X c28-0,not_in_edsm,backward,1,1,Phoi Aescs UT-X,UT-X,c28,0
Phoi Aescs WX-U d2-0,not_in_edsm,backward,1,1,Phoi Aescs WX-U,WX-U,d2,0
Phoi Aescs XI-T d3-0,not_in_edsm,backward,1,1,Phoi Aescs XI-T,XI-T,d3,0
Phoi Aescs ZZ-G d10-0,not_in_edsm,backward,1,1,Phoi Aescs ZZ-G,ZZ-G,d10,0
