system_name,edsm_status,direction,steps_from_edge,spansh_edge_number,family,subsector,mass_prefix,number
Phoi Aescs JD-A d14-2,in_edsm,forward,1,1,Phoi Aescs JD-A,JD-A,d14,2
Phoi Aescs JR-N e6-1,in_edsm,forward,1,0,Phoi Aescs JR-N,JR-N,e6,1
Phoi Aescs KW-C c26-1,in_edsm,forward,1,0,Phoi Aescs KW-C,KW-C,c26,1
Phoi Aescs LB-O d6-1,in_edsm,forward,1,0,Phoi Aescs LB-O,LB-O,d6,1
Phoi Aescs OC-B c27-1,in_edsm,forward,1,0,Phoi Aescs OC-B,OC-B,c27,1
Phoi Aescs TJ-R d4-1,in_edsm,forward,1,0,Phoi Aescs TJ-R,TJ-R,d4,1
Phoi Aescs VR-W d1-2,in_edsm,forward,1,1,Phoi Aescs VR-W,VR-W,d1,2
Phoi Aescs AA-F c25-1,not_in_edsm,forward,1,0,Phoi Aescs AA-F,AA-F,c25,1
Phoi Aescs AA-H d10-3,not_in_edsm,forward,1,2,Phoi Aescs AA-H,AA-H,d10,3
Phoi Aescs AA-P c19-1,not_in_edsm,forward,1,0,Phoi Aescs AA-P,AA-P,c19,1
Phoi Aescs AA-Q d5-1,not_in_edsm,forward,1,0,Phoi Aescs AA-Q,AA-Q,d5,1
Phoi Aescs AA-T b58-1,not_in_edsm,forward,1,0,Phoi Aescs AA-T,AA-T,b58,1
Phoi Aescs AB-C c27-1,not_in_edsm,forward,1,0,Phoi Aescs AB-C,AB-C,c27,1
Phoi Aescs AB-D c26-1,not_in_edsm,forward,1,0,Phoi Aescs AB-D,AB-D,c26,1
Phoi Aescs AB-D d13-1,not_in_edsm,forward,1,0,Phoi Aescs AB-D,AB-D,d13,1
Phoi Aescs AB-F d11-2,not_in_edsm,forward,1,1,Phoi Aescs AB-F,AB-F,d11,2
Phoi Aescs AB-O d6-1,not_in_edsm,forward,1,0,Phoi Aescs AB-O,AB-O,d6,1
Phoi Aescs AB-O e6-1,not_in_edsm,forward,1,0,Phoi Aescs AB-O,AB-O,e6,1
Phoi Aescs AC-A c28-1,not_in_edsm,forward,1,0,Phoi Aescs AC-A,AC-A,c28,1
Phoi Aescs AC-B c27-1,not_in_edsm,forward,1,0,Phoi Aescs AC-B,AC-B,c27,1
Phoi Aescs AC-C d13-1,not_in_edsm,forward,1,0,Phoi Aescs AC-C,AC-C,d13,1
Phoi Aescs AC-D c12-1,not_in_edsm,forward,1,0,Phoi Aescs AC-D,AC-D,c12,1
Phoi Aescs AC-D d12-4,not_in_edsm,forward,1,3,Phoi Aescs AC-D,AC-D,d12,4
Phoi Aescs AC-L d8-1,not_in_edsm,forward,1,0,Phoi Aescs AC-L,AC-L,d8,1
Phoi Aescs AD-D c12-1,not_in_edsm,forward,1,0,Phoi Aescs AD-D,AD-D,c12,1
Phoi Aescs AD-I c23-1,not_in_edsm,forward,1,0,Phoi Aescs AD-I,AD-I,c23,1
