system_name,edsm_status,direction,steps_from_edge,spansh_edge_number,family,subsector,mass_prefix,number
Phrio Hypa ED-H d11-0,in_edsm,backward,1,1,Phrio Hypa ED-H,ED-H,d11,0
Phrio Hypa IT-S c20-0,in_edsm,backward,1,1,Phrio Hypa IT-S,IT-S,c20,0
Phrio Hypa JX-A d14-0,in_edsm,backward,1,1,Phrio Hypa JX-A,JX-A,d14,0
Phrio Hypa OT-G d11-0,in_edsm,backward,1,1,Phrio Hypa OT-G,OT-G,d11,0
Phrio Hypa TP-M d8-0,in_edsm,backward,1,1,Phrio Hypa TP-M,TP-M,d8,0
Phrio Hypa XV-T d4-0,in_edsm,backward,1,1,Phrio Hypa XV-T,XV-T,d4,0
Phrio Hypa AB-D d13-0,not_in_edsm,backward,1,1,Phrio Hypa AB-D,AB-D,d13,0
Phrio Hypa AF-X d2-0,not_in_edsm,backward,1,1,Phrio Hypa AF-X,AF-X,d2,0
Phrio Hypa AH-B d14-0,not_in_edsm,backward,1,1,Phrio Hypa AH-B,AH-B,d14,0
Phrio Hypa AM-B d14-0,not_in_edsm,backward,1,1,Phrio Hypa AM-B,AM-B,d14,0
Phrio Hypa AY-J c25-0,not_in_edsm,backward,1,1,Phrio Hypa AY-J,AY-J,c25,0
Phrio Hypa BI-H d11-0,not_in_edsm,backward,1,1,Phrio Hypa BI-H,BI-H,d11,0
Phrio Hypa BQ-V d3-0,not_in_edsm,backward,1,1,Phrio Hypa BQ-V,BQ-V,d3,0
Phrio Hypa CL-V d3-0,not_in_edsm,backward,1,1,Phrio Hypa CL-V,CL-V,d3,0
Phrio Hypa CQ-V d3-0,not_in_edsm,backward,1,1,Phrio Hypa CQ-V,CQ-V,d3,0
Phrio Hypa CX-I d10-0,not_in_edsm,backward,1,1,Phrio Hypa CX-I,CX-I,d10,0
Phrio Hypa DA-X d2-0,not_in_edsm,backward,1,1,Phrio Hypa DA-X,DA-X,d2,0
