system_name,edsm_status,direction,steps_from_edge,spansh_edge_number,family,subsector,mass_prefix,number
Phrio Hypa PW-C c29-1,in_edsm,forward,1,0,Phrio Hypa PW-C,PW-C,c29,1
Phrio Hypa TF-C d14-9,in_edsm,forward,1,8,Phrio Hypa TF-C,TF-C,d14,9
Phrio Hypa WU-E d12-1,in_edsm,forward,1,0,Phrio Hypa WU-E,WU-E,d12,1
Phrio Hypa WV-B d14-2,in_edsm,forward,1,1,Phrio Hypa WV-B,WV-B,d14,2
Phrio Hypa ZV-K d9-1,in_edsm,forward,1,0,Phrio Hypa ZV-K,ZV-K,d9,1
Phrio Hypa AA-F c28-1,not_in_edsm,forward,1,0,Phrio Hypa AA-F,AA-F,c28,1
Phrio Hypa AA-G c27-1,not_in_edsm,forward,1,0,Phrio Hypa AA-G,AA-G,c27,1
Phrio Hypa AA-X d2-1,not_in_edsm,forward,1,0,Phrio Hypa AA-X,AA-X,d2,1
Phrio Hypa AB-D c29-1,not_in_edsm,forward,1,0,Phrio Hypa AB-D,AB-D,c29,1
Phrio Hypa AB-D d13-2,not_in_edsm,forward,1,1,Phrio Hypa AB-D,AB-D,d13,2
Phrio Hypa AB-H c13-1,not_in_edsm,forward,1,0,Phrio Hypa AB-H,AB-H,c13,1
Phrio Hypa AB-L d9-5,not_in_edsm,forward,1,4,Phrio Hypa AB-L,AB-L,d9,5
Phrio Hypa AB-U d4-2,not_in_edsm,forward,1,1,Phrio Hypa AB-U,AB-U,d4,2
Phrio Hypa AB-V d3-1,not_in_edsm,forward,1,0,Phrio Hypa AB-V,AB-V,d3,1
Phrio Hypa AB-W e2-1,not_in_edsm,forward,1,0,Phrio Hypa AB-W,AB-W,e2,1
Phrio Hypa AC-B d1-3,not_in_edsm,forward,1,2,Phrio Hypa AC-B,AC-B,d1,3
Phrio Hypa AC-B d14-1,not_in_edsm,forward,1,0,Phrio Hypa AC-B,AC-B,d14,1
Phrio Hypa AC-J d10-1,not_in_edsm,forward,1,0,Phrio Hypa AC-J,AC-J,d10,1
Phrio Hypa AC-K c25-1,not_in_edsm,forward,1,0,Phrio Hypa AC-K,AC-K,c25,1
Phrio Hypa AC-R b52-1,not_in_edsm,forward,1,0,Phrio Hypa AC-R,AC-R,b52,1
Phrio Hypa AC-S d5-2,not_in_edsm,forward,1,1,Phrio Hypa AC-S,AC-S,d5,2
Phrio Hypa AC-T d4-1,not_in_edsm,forward,1,0,Phrio Hypa AC-T,AC-T,d4,1
Phrio Hypa AC-W c18-1,not_in_edsm,forward,1,0,Phrio Hypa AC-W,AC-W,c18,1
Phrio Hypa AD-K c25-2,not_in_edsm,forward,1,1,Phrio Hypa AD-K,AD-K,c25,2
Phrio Hypa AD-L c24-1,not_in_edsm,forward,1,0,Phrio Hypa AD-L,AD-L,c24,1
Phrio Hypa AD-T c20-1,not_in_edsm,forward,1,0,Phrio Hypa AD-T,AD-T,c20,1
Phrio Hypa AD-V c5-1,not_in_edsm,forward,1,0,Phrio Hypa AD-V,AD-V,c5,1
Phrio Hypa AE-C c2-1,not_in_edsm,forward,1,0,Phrio Hypa AE-C,AE-C,c2,1
Phrio Hypa AE-E d13-3,not_in_edsm,forward,1,2,Phrio Hypa AE-E,AE-E,d13,3
Phrio Hypa AE-I c26-1,not_in_edsm,forward,1,0,Phrio Hypa AE-I,AE-I,c26,1
Phrio Hypa AE-R c21-1,not_in_edsm,forward,1,0,Phrio Hypa AE-R,AE-R,c21,1
Phrio Hypa AF-B b6-1,not_in_edsm,forward,1,0,Phrio Hypa AF-B,AF-B,b6,1
Phrio Hypa AF-C c2-1,not_in_edsm,forward,1,0,Phrio Hypa AF-C,AF-C,c2,1
Phrio Hypa AF-F b45-1,not_in_edsm,forward,1,0,Phrio Hypa AF-F,AF-F,b45,1
Phrio Hypa AF-T c6-1,not_in_edsm,forward,1,0,Phrio Hypa AF-T,AF-T,c6,1
Phrio Hypa AF-X d2-2,not_in_edsm,forward,1,1,Phrio Hypa AF-X,AF-X,d2,2
