system_name,edsm_status,direction,steps_from_edge,spansh_edge_number,family,subsector,mass_prefix,number
Syreadiae AC-J d10-1,in_edsm,forward,1,0,Syreadiae AC-J,AC-J,d10,1
Syreadiae AR-T d4-1,in_edsm,forward,1,0,Syreadiae AR-T,AR-T,d4,1
Syreadiae DZ-D d13-2,in_edsm,forward,1,1,Syreadiae DZ-D,DZ-D,d13,2
Syreadiae ID-Z d1-4,in_edsm,forward,1,3,Syreadiae ID-Z,ID-Z,d1,4
Syreadiae JY-Y d1-2,in_edsm,forward,1,1,Syreadiae JY-Y,JY-Y,d1,2
Syreadiae MK-M d8-1,in_edsm,forward,1,0,Syreadiae MK-M,MK-M,d8,1
Syreadiae UA-L d9-1,in_edsm,forward,1,0,Syreadiae UA-L,UA-L,d9,1
Syreadiae WX-F d12-2,in_edsm,forward,1,1,Syreadiae WX-F,WX-F,d12,2
Syreadiae ZQ-T d4-1,in_edsm,forward,1,0,Syreadiae ZQ-T,ZQ-T,d4,1
Syreadiae AA-B b6-1,not_in_edsm,forward,1,0,Syreadiae AA-B,AA-B,b6,1
Syreadiae AA-C b5-1,not_in_edsm,forward,1,0,Syreadiae AA-C,AA-C,b5,1
Syreadiae AA-C c2-1,not_in_edsm,forward,1,0,Syreadiae AA-C,AA-C,c2,1
Syreadiae AA-H c13-1,not_in_edsm,forward,1,0,Syreadiae AA-H,AA-H,c13,1
Syreadiae AA-I c12-1,not_in_edsm,forward,1,0,Syreadiae AA-I,AA-I,c12,1
Syreadiae AA-K a8-1,not_in_edsm,forward,1,0,Syreadiae AA-K,AA-K,a8,1
Syreadiae AA-K b1-1,not_in_edsm,forward,1,0,Syreadiae AA-K,AA-K,b1,1
Syreadiae AA-K b56-1,not_in_edsm,forward,1,0,Syreadiae AA-K,AA-K,b56,1
Syreadiae AA-Q c8-1,not_in_edsm,forward,1,0,Syreadiae AA-Q,AA-Q,c8,1
Syreadiae AA-R a4-1,not_in_edsm,forward,1,0,Syreadiae AA-R,AA-R,a4,1
Syreadiae AA-X d2-1,not_in_edsm,forward,1,0,Syreadiae AA-X,AA-X,d2,1
Syreadiae AA-Z b20-1,not_in_edsm,forward,1,0,Syreadiae AA-Z,AA-Z,b20,1
Syreadiae AB-A c3-1,not_in_edsm,forward,1,0,Syreadiae AB-A,AB-A,c3,1
Syreadiae AB-C b33-1,not_in_edsm,forward,1,0,Syreadiae AB-C,AB-C,b33,1
Syreadiae AB-D c29-1,not_in_edsm,forward,1,0,Syreadiae AB-D,AB-D,c29,1
Syreadiae AB-D d13-1,not_in_edsm,forward,1,0,Syreadiae AB-D,AB-D,d13,1
Syreadiae AB-L d9-2,not_in_edsm,forward,1,1,Syreadiae AB-L,AB-L,d9,2
Syreadiae AB-M d8-1,not_in_edsm,forward,1,0,Syreadiae AB-M,AB-M,d8,1
Syreadiae AB-R a4-1,not_in_edsm,forward,1,0,Syreadiae AB-R,AB-R,a4,1
Syreadiae AB-U d4-3,not_in_edsm,forward,1,2,Syreadiae AB-U,AB-U,d4,3
Syreadiae AB-V d3-1,not_in_edsm,forward,1,0,Syreadiae AB-V,AB-V,d3,1
Syreadiae AB-W e2-1,not_in_edsm,forward,1,0,Syreadiae AB-W,AB-W,e2,1
Syreadiae AC-B d1-6,not_in_edsm,forward,1,5,Syreadiae AC-B,AC-B,d1,6
Syreadiae AC-B d14-1,not_in_edsm,forward,1,0,Syreadiae AC-B,AC-B,d14,1
Syreadiae AC-I b2-1,not_in_edsm,forward,1,0,Syreadiae AC-I,AC-I,b2,1
Syreadiae AC-K c25-1,not_in_edsm,forward,1,0,Syreadiae AC-K,AC-K,c25,1
Syreadiae AC-K d9-1,not_in_edsm,forward,1,0,Syreadiae AC-K,AC-K,d9,1
Syreadiae AC-O c9-1,not_in_edsm,forward,1,0,Syreadiae AC-O,AC-O,c9,1
Syreadiae AC-S d5-3,not_in_edsm,forward,1,2,Syreadiae AC-S,AC-S,d5,3
Syreadiae AC-X c4-1,not_in_edsm,forward,1,0,Syreadiae AC-X,AC-X,c4,1
